English,French,Fulfulde
"Informal “informals”, convened by the Facilitator, Mr. Majdi Ramadan (Lebanon), on the draft resolution on agenda item 89 (a) (Implementation of the first United Nations Decade for the Eradication of Poverty (1997-2006)), will be held today, 7 December 2004, from 10 to 1 p.m. in Conference Room C.","Des consultations officieuses “officieuses”, convoquées par le facilitateur, M. Majdi Ramadan (Liban), sur le projet de résolution relatif au point subsidiaire 89 a) (Mise en œuvre de la première Décennie des Nations Unies pour l'élimination de la pauvreté (1997-2006)), auront lieu aujourd'hui 7 décembre 2004 de 10 à 13 heures dans la salle de conférence C.",
"Very simply, Leo Walsh, who was to be my captain on this trip, passed away suddenly.","C'est simple. Leo Walsh, qui était le vrai capitaine, est mort subitement et il m'a fallu prendre les commandes du vaisseau.",
"Europe is concerned by the North Korean nuclear crisis for five reasons at least: the importance of the North Korean case for the non-proliferation regime (which was moreover one reason for the Union's involvement in KEDO21); the danger of the transfer of North Korean nuclear expertise and technology to countries geographically close to Europe that have in the past shown an interest in nuclear matters; the involvement of some member states in maintaining security in the peninsula, through the Military Armistice Commission (France, the United Kingdom), the Committee supervising the Commission (Sweden) and the 1953 declaration that guarantees South Korea's security (Belgium, France, Greece, Luxembourg, the Netherlands and the United Kingdom); the risk, in the event of a serious crisis in the peninsula, that North Korea could be tempted to blackmail the United States's European allies;22 finally, the dramatic effects that another Korean war would have on the world's economy, and therefore that of Europe. The European Union has still other reasons to be more preoccupied by the nuclear threat.","En effet, l'Europe est concernée par la crise nucléaire nord-coréenne à cinq titres au moins : l'exemplarité du cas nord-coréen pour le régime de non-prolifération (qui avait d'ailleurs été une raison de l'implication de l'Union dans la KEDO21) ; le danger d'un transfert d'expertise et de technologies nucléaires nord-coréennes vers des pays géographiquement proches de l'Union qui ont par le passé montré un certain intérêt pour le nucléaire ; l'engagement de certains Etats membres au maintien de la sécurité sur la péninsule, à travers la commission d'armistice (France, Royaume-Uni), le comité de supervision de ladite commission (Suède), et la déclaration de 1953 qui vaut garantie de sécurité envers la Corée du Sud (Belgique, Grèce, France, Luxembourg, Pays-Bas, Royaume-Uni) ; le risque, en cas de crise grave sur la péninsule, de voir la Corée du Nord tenter d'exercer un chantage sur les alliés européens des Etats-Unis22 ; enfin, les effets dramatiques qu'aurait une nouvelle guerre de Corée sur l'économie mondiale, et donc sur l'économie européenne.",
"It can take the form of a product, process or program that creates positive social outcomes for communities.","Elle peut se présenter sous forme de produit, de processus ou de programme qui donne de bons résultats sociaux pour les collectivités.",
It must be. That reminds me of a great quote by Duke Ellington: I don’t need inspiration.,Sagmeister : Il doit être comme ça. Ça me fait penser à une très belle citation de Duke Ellington : I dont need inspiration.,
"Orlando, where are you?",- Où es-tu ? - Désolé.,
"I tried to stop it, hank.",J'ai essayé d'y mettre fin Hank.,
Our supplication,Nous Te supplions,
"The conception of the equipments by our engineering lab, the selection of materials and the follow up in the manufacturing of the destruction units and the use of first line French gasometer [gas holder] are the quality guarantee of its biogas valorization installations.","La conception des équipements par notre bureau d’étude, la sélection des matériels et le choix d’une fabrication Française des torchères et gazomètres vous assurent la qualité de vos ensembles de valorisation du biogaz.",
"Jessica, you have to calm down. No! No!","Calme-toi, Jessica.",
Ethan.,Oh.,
"- Oh, yeah. - But it's a different generation.",- Mais c'est une génération différente.,
"Kids are spending more time playing with their friends, rather than being caught up in other activities.”","Les enfants passent plus de temps à s’amuser avec leurs amis, plutôt que d’être occupés à d’autres activités.»",
There is not one of us who objects today to a European industrial policy for armaments.,Plus un seul d'entre nous aujourd'hui ne s'oppose à une politique européenne industrielle des armements.,
"However, in the case of a hinged emergency window, the height of the lower edge may be reduced to a minimum of 500 mm provided that the window aperture is equipped with a guard up to a height of 650 mm to prevent the possibility of passengers falling out of the vehicle.","Toutefois, dans le cas d'une fenêtre de secours à charnières, la hauteur du bord inférieur peut être réduite jusqu'à un minimum de 500 mm si l'ouverture de la fenêtre est munie d'un dispositif de protection jusqu'à une hauteur de 650 mm pour éviter que des voyageurs puissent tomber hors du véhicule.",
- Okay.,- Ok.,
"This 14-18 programme came about through the common desire of three animation festivals, Anima Brussels, the Annecy International Animation Film Festival and Trickfilm Festival Stuttgart, to commemorate, each in their own fashion,...","Cette programmation 14-18 est née d'une envie commune de trois festivals d'animation, Anima Bruxelles, le Festival international du film d'animation d'Annecy et Internationales Trickfilm-Festival Stuttgart d'honorer chacun...",
"Furthermore, agencies co-ordinating networking activities and instruments initiating collaboration are commonly used policy concepts already.","En outre, l'instrument des technopoles a prouvé qu'il fournissait une bonne base à la coopération avec les organismes de recherche et les universités.",
"Stand down, condition two.",Repassez en Condition 2.,
Diagnostic criteria,Les critères de diagnostic,
"It is up to the head of the household, first and foremost, to commit himself to achieving this by preparing himself for Shabbat, such that all his children of every age will gather around the table.","C’est au maître de maison qu’il revient en tout premier lieu de s’investir, en se préparant au Chabbat par des choses qui permettront de rassembler tous les enfants de tous les âges autour de la table.",
Why's there so much blood on my ring?,Sur mon anneau.,
Get your hat.,Prends ton chapeau.,
"Oh... Sausage, bacon, two eggs, tomatoes, fried bread?","Saucisse, bacon, 2 oeufs, tomates, pain grillé ?",
"However, Schedule A also includes some historical anomalies.",Des ressources publiques supplémentaires s'imposent.,
"Next, you are climbing up on the roof to see something.","Et puis, tu es monté sur le toit pour voir un truc.",
Hey!,Hé!,
You can then move or resize it using the techniques of application design we reviewed in Lessons 3 and 4.,Vous pouvez ensuite déplacer ou redimensionner à l'aide de techniques de conception d'applications que nous avons examinées dans les leçons 3 et 4.,
- He could but he didn't.,"- Oui, mais il ne l'a pas fait.",
A narrative description of the results achieved and outcomes as compared with what was planned.,"Décrire en phrases complètes les résultats, en comparaison à ceux qui étaient prévus selon la proposition.",
Take a count.,"Faites l""appel.",
Bro?,Laisse-moi te faire un petit tableau.,
Why don't you just date my mom instead?,Pourquoi tu sors pas avec ma mère plutôt ?,
Activities of the institutes comprising the United Nations Crime Prevention and Criminal Justice Programme network,Activités des instituts qui composent le réseau du Programme des Nations Unies pour la prévention du crime et la justice pénale,
"If he asks you where I was after the show, tell him I came by, because you had a fight with Gabriel.","S'il te demande où j'étais après le spectacle, j'étais chez toi car tu t'étais disputée avec Gabriel.",
My mama gots a lot of kids.,- Ma maman a plein d'enfants.,
I'll call you tomorrow.,Je t'appelle demain.,
What is the difference between PRECIP-Rain and PRECIP-Snow images?,Quelle est la différence entre les images PRECIP-Pluie et PRECIP-Neige?,
A game that's quite a bit anticipated by the fans of the genre.,Un jeu très attendu par les fans semble t'il.,
"But in the end, you'll come around.",Mais tu finiras par changer d'avis.,
"In Ontario,",En Ontario,
Malta,Malte,
"Concerns relate in particular to future oil price developments and , more generally , to the potential risk of second-round effects in wage and price-setting throughout the economy .","Les inquiétudes tiennent notamment à l' évolution future des cours du pétrole et , plus généralement , au risque potentiel d' effets de second tour découlant des processus de fixation des salaires et des prix dans l' ensemble de l' économie .",
"Graefe zu Baringdorf (V), rapporteur. - (DE) Mr President, ladies and gentlemen, we are very pleased to be able to deal with this report today.","Blaney (ARC). - (EN) Pour un rappel au règlement, Monsieur le Président.",
"The Security Council, by its resolution 690 (1991) of 29 April 1991, established the United Nations Mission for the Referendum in Western Sahara (MINURSO) in accordance with the timetable outlined by the Secretary-General (see S/22464).","Par sa résolution 690 (1991) du 29 avril 1991, le Conseil de sécurité a créé la Mission des Nations Unies pour l'organisation d'un référendum au Sahara occidental (MINURSO), conformément au calendrier établi par le Secrétaire général (voir S/22464).",
Wind gusts 8.2 km/h 10.6 km/h 14.2 km/h 12.8 km/h 14.2 km/h 16.2 km/h 13.5 km/h 13 km/h,Raffiche 6.9 km/h 9.5 km/h 15.1 km/h 12.4 km/h 14.1 km/h 15.1 km/h 13.9 km/h 13 km/h,
"On February 10, 2004, Manitoba officially opened the expanded Health Links/Info Santé, a 35-seat, state-ofthe-art call centre with a call capacity of 300,000 per year.",La plus récente initiative du Fonds est le programme de subventions conditionnelles mis en oeuvre en juillet 2004 pour encourager les nouvelles diplômées à travailler en milieu,
Source:st2013.bps.go.id,Source:www.eafe.org,
You mean we gotta get them spirits up again tonight?,Tu veux dire qu'on va rappeler les esprits?,
It has had some success in promoting peaceful relations among its signatories.,Cet accord a joué un rôle positif en favorisant les relations pacifiques entre ses signataires.,
"Yes, sir.","Oui, monsieur.",
Come here.,Viens là.,
"I can spare you, if you think they'll come.","Vous pouvez y aller, si vous pensez qu'ils viendront.",
"In closing, on behalf of Yemen, I wish to thank the Secretary-General for his unstinting support, efforts and guidance at the head of the Organization.","Pour terminer, je voudrais, au nom du Yémen, remercier le Secrétaire général, qui n'a ménagé ni son appui, ni ses efforts, ni ses conseils à la tête de l'Organisation.",
Because all that spilled blood made me hungry.,Tout ce sang répandu m'a ouvert l'appétit.,
"- No, go, we're fine.","- Non, c'est bon.",
"""Fairbanks Bus 142"", courtesy of Heather Horton","""Fairbanks Bus 142″, tableau reproduit avec l'aimable autorisation de Heather Horton",
To appear in March 1976 1 Volume 4 A Belgium 4 B Belgium,"A paraître en mars 1976 : Volume 4 A Belgique 4 Β """,
"For taxable supplies (except zero-rated supplies), you have to show either:","Pour les fournitures taxables (sauf celles qui sont détaxées), vous pouvez :",
"Please, let us go.","S""il vous pla¨it, laissez-nous partir.",
"Having considered the report of the Secretary-General on the financing of the United Nations Support Mission in Haiti, the United Nations Transition Mission in Haiti and the United Nations Civilian Police Mission in Haiti1 and the related reports of the Advisory Committee on Administrative and Budgetary Questions,2","Ayant examiné le rapport du Secrétaire général sur le financement de la Mission d'appui des Nations Unies en Haïti, de la Mission de transition des Nations Unies en Haïti et de la Mission de police civile des Nations Unies en Haïti et les rapports correspondants du Comité consultatif pour les questions administratives et budgétaires,",
Clearance Certificates are to be issued within 3 weeks of receipt of the application.,Le certificat d’autorisation doit être émis dans les trois semaines suivant la réception de la demande.,
Eventually Yates was tried and he received the death penalty.,"Finalement, Yates a été jugé et il a reçu la peine de mort.",
"Don't scream out, the Cavalry's here.",Ne criez pas. La cavalerie est arrivée.,
The activity involved the recipient organization's using a Web site to distribute information. Nothing on file suggests any discussion to the effect that the site be bilingual.,"L'activité de la société bénéficiaire impliquait l'utilisation d'un site Web pour diffuser l'information, rien au dossier n'indique que l'on a discuté à l'effet que ce site soit bilingue.",
"Well, Red, that is wonderful.","Hé bien, Red, c'est super.",
The Charter Secretariat attended the meetings along with an observer from the ETUC.,"Le Secrétariat de la Charte a participé aux réunions, ainsi qu'un observateur de la CES.",
There is more than a little irony here.,L’ironie de la situation n’est pas des moindres.,
"He also allowed him to take part in the surveying of Scottish railway routes, which were being developed at the time. At a very young age, Sandford Fleming found that his life was already intertwined with the growth of the railway industry.","Il lui permet de plus de participer à l’arpentage des voies du chemin de fer écossais, en plein développement. C’est donc tout jeune que Sandford Fleming voit son destin mêlé à l’expansion de l’industrie ferroviaire.",
Time to work.,C'est l'heure du boulot.,
"Whenever the need arose, as a'result of developments in the negotiations, the Council adopted supplements or amendments to the basic negotiating directives.","Il a adopté, en cas de besoin, les compléments ou ajustements aux directives de négociation que requerrait l'évolution de celles-ci.",
"God, guys, damn it.","Arrêtez tout. Seigneur, fait chier.",
"Help me, Asuka.","Aide-moi, Asuka.",
"""Fragments From France,"" in small lettering above the bench, refers to a publication by famous British cartoonist Bruce Bairnsfather.","« Fragments From France » (Fragments de France), en petits caractères au-dessus du banc, fait référence à une publication du célèbre dessinateur humoristique britannique Bruce Bairnsfather.",
o The Canada School of Public Service has become the central training provider for the PS.,o L'École de la fonction publique du Canada est devenue le fournisseur central de formation pour la FP.,
Sorry I'm late.,Désolé je suis en retard.,
The work is essential for fostering the early deployment in Europe of Next Generation Information and Communications Networks based upon all-optical technologies and new Internet protocols and for incorporating the most up-to-date middleware.,"Ces travaux sont essentiels pour promouvoir le déploiement précoce en Europe de la prochaine génération de réseaux d'information et de communication, fondés sur des technologies entièrement optiques et de nouveaux protocoles Internet; et pour intégrer les solutions middleware les plus modernes.",
Why won't you show yourself?,Pourquoi tu ne veux pas te montrer ?,
"Then came the musical ""Tommy"" in 1975, for which she was nominated for the Academy Award for Best Actress.","En 1975, Ann-Margret est nommée à l'Oscar de la meilleure actrice pour ""Tommy"".",
(d) be sufficiently distant (radially) from other probes and the tunnel wall so as to be free from the influence of any wakes or eddies,d) doit être suffisamment éloignée (radialement) des autres sondes et de la paroi du tunnel pour ne pas subir d'effet de sillage ou de turbulence;,
"In addition, training courses have been run for service providers in five of the relief centres attached to the Ministry of Social Affairs and for various non-governmental organizations working in the southern suburbs of Beirut.",Des cycles de formation ont aussi été organisés au bénéfice de divers prestataires de services sociaux dans cinq centres de secours du Ministère des affaires sociales et de certaines ONG présentes dans la banlieue sud de Beyrouth.,
"If he's yanking' my chain, then where am I gonna get the money?","S'il me nique, où j'aurais l'argent ?",
"Kuriki's toying with me, saying he can hit me any time.","Kuriki est en train de s'amuser avec moi, il dit qu'il peut m'avoir quand il le désire.",
"There were numerous legal difficulties to regarding unilateral acts as a source of international law, and it was not permissible for States to impose their own unilateral legal enactments on other States.","Considérer les actes unilatéraux comme une source de droit international pose de nombreuses difficultés juridiques, car les États ne peuvent imposer leurs actes juridiques unilatéraux à d'autres États.",
Which I will tell you if so slo are silent for a moment.,Celui dont je parlerai si vous vous taisez.,
- You think she left the mall?,- Tu crois qu'elle est partie ?,
This is absurd. I could never forgive the...,Je ne pourrais jamais oublier...,
Preparing a good CV should also contain all the information the employer asks to know to be of interest to grant an interview and perhaps give a good job.,"La préparation d'un bon C.V. doit aussi contenir toutes les informations que l’employeur demande à savoir, afin de l'intéresser à accorder un entretien d'embauche et peut-être accorder un bon poste de travail.",
Bastard!,Salopard!,
I shouldn't keep you from work,Je ne devrais pas te distraire à ton travail.,
Source:depc.acevo.link,Source:uptodatebooks-a09.download,
"The organisations which carry out this research are, in part, the universities, but a large number of other organisations are also involved.","Les recherches sont réalisées en partie par des universités, en partie par de nombreuses autres organisations.",
Appendix C - Budgets and staff complements for Ministers and Ministers of State C.1 A.,Annexe C - Budgets et effectif des cabinets des ministres et des ministres d'État C.1 A.,
"Lost again, huh?",Tu as encore perdu ?,
"If we do not meet the standards, we will lag behind other countries in the region.","Je tiens aussi naturellement à remercier Jean Lemierre de nous faire l'honneur de sa présence et de son rapport en français, langue officielle du Conseil de l'Europe.",
"The Conference was opened by the Bolivian Minister of Justice, Ms. Celima Torrico Rojas, the Deputy Minister for Transparency and Anti-corruption, Ms. Nardi Suxo, and the Director of Multilateral Affairs at the Bolivian Ministry of Foreign Affairs, Mr. Edgar Pinto, together with Ms. Simonetta Grassi, Representative of the United Nations Office on Drugs and Crime (UNODC), Vienna; Mr. José Rocabado, UNODC officer in La Paz; and the Ambassador of the Dominican Republic to the international organizations in Vienna, in his capacity as Chairman of the Group of Latin American and Caribbean States, Vienna.","La Conférence a été ouverte par la Ministre bolivienne de la justice, Mme Celima Torrico Rojas, la Vice-ministre de la transparence et de la lutte contre la corruption, Mme Nardi Suxo, et le Directeur des affaires multilatérales du Ministère bolivien des affaires étrangères, M. Edgar Pinto, ainsi que par Mme Simonetta Grassi, représentante de l'Office des Nations Unies contre la drogue et le crime (ONUDC) à Vienne; M. José Rocabado, fonctionnaire de l'ONUDC à La Paz; et l'Ambassadeur de la République dominicaine auprès des organisations internationales à Vienne, en sa qualité de Président du Groupe des États d'Amérique latine et des Caraïbes à Vienne.",
- Hopefully more than that.,"Plus que ça, j'espère. Je vous en prie, asseyez-vous.",
That's fine.,- C'est bon. - Merci.,
That's probably where he raped her.,C'est probablement là qu'il l'a violée.,
An uneventful landing was carried out.,L’avion a atterri sansincident.,
Children need to have roots.,"Un jour, tous les enfants de l'Ontario auront une famille...",
"(d) Long-term humanitarian assistance and follow-up for persons with special needs, including minors who are at risk and/or are separated or unaccompanied;","d) Assistance humanitaire de longue durée et suivi des personnes ayant des besoins spéciaux, notamment les mineurs vulnérables et/ou séparés ou non accompagnés;",
"Before joining CGI, Ms. Godin founded Oxygen Corporate Health, a company that manages comprehensive health and wellness programs in the workplace.","Avant de se joindre à l’équipe de CGI, elle a fondé Oxygène Santé Corporative, une entreprise vouée à la promotion de la santé et du mieux-être en milieu de travail.",
Talk!,Parle ! Parle !,
Distance Education Mongolia website: http://www.elearning.mn,Site Web sur la formation à distance en Mongolie : http://www.elearning.mn,
He plays golf with mark's dad.,- Il joue au golf avec le père de Mark.,
"[2 PM, B4 D42]",B4 D42],
Sierra II is a miniaturized programmable module that can be integrated into radios and other voice and data communication devices to encrypt classified information prior to transmission and storage.,Les bases de données partagées seraient une solution au problème délicat des pays qui ne veulent pas transmettre des renseignements sur leurs citoyens.,
Table 5: Enterprise birth rates (% of population of active enterprises),Tableau 5 : Taux de créations d'entreprise (% de la population des entreprises en activité),
"At one hand, we all want to look at ourselves in the mirror and feel good about ourselves, so we don't want to cheat.","D'un côté, nous voulons tous nous regarder dans la glace et avoir bonne conscience, donc nous ne voulons pas tricher.",
I saw him take ã300 out of petty cash last night.,Je l'ai vu prendre 300 livres dans la caisse la nuit dernière.,
"At the places where the definitions of “Open container”, “Closed container”, “Large container”, “Sheeted container” and “Small container” currently appear, add a reference to the definition of “Container” as follows:","Aux endroits où les définitions de ""Grand conteneur"" et ""Petit conteneur"" apparaissent dans le texte existant, ajouter une référence à la définition de ""Conteneur"" comme suit:",
"General Provisions Article 1 A European organisation, the ""Organisation for Joint Armament Co-operation"" (Organisation Conjointe de Coopération en matière d'Armement (OCCAR)) is hereby established.","Dispositions générales Article 1 Il est créé une organisation européenne, appelée l'« Organisation Conjointe de Coopération en matière d'Armement » (OCCAR).",
You can kiss my black ass.,Vous vous le mettez au cul.,
"Argentina, Egypt, Mauritius and Uruguay further requested financial assistance to implement a number of measures in the transportation sector.",Maurice a appelé à une amélioration des statistiques et de la collecte des données afin de permettre une mise à jour périodique des inventaires de GES tandis que l'Uruguay a insisté sur la nécessité de déterminer des coefficients d'émission dans le secteur de l'énergie.,
DFAIT will develop a strategic risk-management approach to focus the direction of activities related to the management of its potentially contaminated sites.,Il élaborera un principe stratégique de gestion des risques pour cibler l'orientation des activités se rapportant à la gestion des sites qui pourraient être contaminés.,
- We have gone too far.,- on est allé trop loin,
You came to check on me.,Et je suis venu voir.,
Just that we love you both so much!,Juste que nous vous aimons tellement !,
Fruits of the tree,Fruits de l'arbre,
"Ye, I am putting it away.",- Parfaitement. Ici même.,
Hashimoto.,Hashimoto.,
"So he's got two options, cut and run or finish this.",Il a le choix. S'enfuir ou aller jusqu'au bout.,
"During recent years, rates of suicide from hanging among 10-19 years olds increased from 2.2/100,000 in 1990 to 3.7/100,000 in 1996.","Au cours des cinq dernières années, les taux de suicide par pendaison chez les 10 à 19 ans sont passés de 2,2 pour 100 000 en 1990 à 3,7 pour 100 000 en 1996.",
"There was no dead end, David.","Il n'y avait pas d'impasse, David.",
Synthetic staple fibres,Fibres textiles synthétiques discontinues,
Thank you.,Merci.,
"Oh, my God, I swear, sometimes when I'm around her,","Oh, mon Dieu, je te jure, parfois, quand je suis autour d'elle",
Virtual desktop seventeen is selected,Le bureau virtuel 17 est sélectionnéName,
Example: education subsidy USE education grant (3216),"Trois possibilités se présentent: a) le concept correspond à un descripteur (par exemple, «politique de l’éducation»);",
An evaluation focused on program organization and process was conducted in 1993.,Une évaluation axée sur l'organisation et le fonctionnement du Programme a été effectuée en 1993.,
They've got openings for 2 part-timers.,Ils embauchent deux personnes à mi-temps.,
processes with a vacuum packaging solution from BOSS. Standard machines,modes de fonctionnement par une solution d'emballage sous vide de BOSS.,
"There is also the risk that the Games will become a political circus, as the international spotlight generates irresistible opportunities for public protest.","Il existe aussi un risque que les jeux se changent en cirque politique, car les projecteurs internationaux provoquent des tentations irrésistibles de manifester publiquement.",
